IR,conf,kulc,lhs,lift,rhs,sup_lhs
0.590909091,0.875,0.604166667,['积存垃圾渣土'],2.625,['城市管理'],0.126984127
0.357142857,0.875,0.706730769,['绿化带养护'],4.240384615,['社区公共管理'],0.126984127
0.590909091,0.875,0.604166667,['绿化带养护'],2.625,['城市管理'],0.126984127
0.357142857,0.875,0.706730769,['绿化带养护'],4.240384615,['道路破损'],0.126984127
0.1,0.875,0.826388889,['绿化带养护'],6.125,['公共绿地养护'],0.126984127
0.285714286,0.888888889,0.752136752,['公共绿地养护'],4.307692308,['道路破损'],0.142857143
0.384615385,1,0.807692308,"['城市管理', '下水井盖']",4.846153846,['道路破损'],0.126984127
0.47826087,0.8,0.59047619,"['道路破损', '下水井盖']",2.4,['城市管理'],0.158730159
0.294117647,0.8,0.666666667,"['道路破损', '城市管理']",3.36,['下水井盖'],0.158730159
0.461538462,1,0.769230769,"['社区公共管理', '公共绿地养护']",4.846153846,['道路破损'],0.111111111
0.1,0.875,0.826388889,"['道路破损', '社区公共管理']",6.125,['公共绿地养护'],0.126984127
0.357142857,0.875,0.706730769,"['道路破损', '公共绿地养护']",4.240384615,['社区公共管理'],0.126984127
0.461538462,1,0.769230769,"['绿化带养护', '公共绿地养护']",4.846153846,['道路破损'],0.111111111
0,0.875,0.875,"['道路破损', '公共绿地养护']",6.890625,['绿化带养护'],0.126984127
0.222222222,1,0.888888889,"['道路破损', '绿化带养护']",7,['公共绿地养护'],0.111111111
0,0.875,0.875,['绿化带养护'],6.890625,"['道路破损', '公共绿地养护']",0.126984127
0.461538462,1,0.769230769,"['城市管理', '公共绿地养护']",4.846153846,['道路破损'],0.111111111
0.590909091,0.875,0.604166667,"['道路破损', '公共绿地养护']",2.625,['城市管理'],0.126984127
0.666666667,1,0.666666667,"['绿化带养护', '公共绿地养护']",3,['城市管理'],0.111111111
0.125,1,0.9375,"['城市管理', '公共绿地养护']",7.875,['绿化带养护'],0.111111111
0.222222222,1,0.888888889,"['城市管理', '绿化带养护']",7,['公共绿地养护'],0.111111111
0.125,0.875,0.9375,['绿化带养护'],7.875,"['城市管理', '公共绿地养护']",0.126984127
0.461538462,1,0.769230769,"['城市管理', '绿化带养护']",4.846153846,['道路破损'],0.111111111
0.666666667,1,0.666666667,"['道路破损', '绿化带养护']",3,['城市管理'],0.111111111
0.181818182,0.875,0.7875,['绿化带养护'],5.5125,"['道路破损', '城市管理']",0.126984127
0.461538462,1,0.769230769,"['城市管理', '社区公共管理']",4.846153846,['道路破损'],0.111111111
0.590909091,0.875,0.604166667,"['道路破损', '社区公共管理']",2.625,['城市管理'],0.126984127
0.666666667,1,0.666666667,"['道路破损', '绿化带养护', '公共绿地养护']",3,['城市管理'],0.111111111
0.125,1,0.9375,"['道路破损', '城市管理', '公共绿地养护']",7.875,['绿化带养护'],0.111111111
0.461538462,1,0.769230769,"['城市管理', '绿化带养护', '公共绿地养护']",4.846153846,['道路破损'],0.111111111
0.222222222,1,0.888888889,"['道路破损', '城市管理', '绿化带养护']",7,['公共绿地养护'],0.111111111
0.125,0.875,0.9375,"['道路破损', '公共绿地养护']",7.875,"['城市管理', '绿化带养护']",0.126984127
0.3,1,0.85,"['绿化带养护', '公共绿地养护']",6.3,"['道路破损', '城市管理']",0.111111111
0,1,1,"['道路破损', '绿化带养护']",9,"['城市管理', '公共绿地养护']",0.111111111
0,1,1,"['城市管理', '公共绿地养护']",9,"['道路破损', '绿化带养护']",0.111111111
0.125,1,0.9375,"['城市管理', '绿化带养护']",7.875,"['道路破损', '公共绿地养护']",0.111111111
0.125,0.875,0.9375,['绿化带养护'],7.875,"['道路破损', '城市管理', '公共绿地养护']",0.126984127
