,IR,cosine,kulc,lhs,lift,rhs,sup_lhs,sup_rhs,conf
0,0.688356164,0.378031768,0.465125153,['乱堆物堆料'],2.852767603,['城市管理'],0.06805293,0.258034026,0.736111111
1,0.561461794,0.451040561,0.504578755,['绿化带养护'],2.832065371,['城市管理'],0.098298677,0.258034026,0.730769231
2,0.394904459,0.556581179,0.581521739,['道路路面塌陷、凹陷'],5.75,['道路破损'],0.071833648,0.130434783,0.75
3,0.661016949,0.383759732,0.461538462,['树木养护'],2.782380013,['城市管理'],0.073724008,0.258034026,0.717948718
4,0.283333333,0.663909392,0.676362683,['乱堆物堆料'],8.040356394,['其他区域堆放施工废弃料'],0.06805293,0.100189036,0.805555556
5,0.348148148,0.604990142,0.624183007,['乱堆物堆料'],6.91503268,['积存垃圾渣土'],0.06805293,0.112476371,0.777777778
6,0.560402685,0.476157646,0.53042712,['其他区域堆放施工废弃料'],2.961434792,['城市管理'],0.100189036,0.258034026,0.764150943
7,0.459227468,0.563010774,0.598113208,['上水井盖'],3.99245283,['下水井盖'],0.099243856,0.200378072,0.8
8,0.367816092,0.545879562,0.567131783,['其他施工管理问题'],5.08496124,['施工安全隐患'],0.081285444,0.141776938,0.720930233
9,0.550660793,0.530157537,0.583604424,['下水道堵塞或破损'],4.130123617,['下水井盖'],0.082230624,0.200378072,0.827586207
10,0.087837838,0.685589743,0.686736959,['其他区域堆放施工废弃料'],6.458379578,['积存垃圾渣土'],0.100189036,0.112476371,0.726415094
11,0.452282158,0.500777926,0.533751603,['通讯井盖'],3.585455212,['下水井盖'],0.097353497,0.200378072,0.718446602
12,0.66894198,0.393140848,0.474525475,['路灯(灯光)井盖'],2.86884544,['城市管理'],0.072778828,0.258034026,0.74025974
13,0.511627907,0.504878164,0.549019608,['积存垃圾渣土'],2.963585434,['城市管理'],0.112476371,0.258034026,0.764705882
14,0.573913043,0.476078716,0.533726415,"['道路破损', '城市管理']",3.867688679,['下水井盖'],0.075614367,0.200378072,0.775
15,0.70877193,0.423781032,0.523551566,"['下水井盖', '施工安全隐患']",3.220450911,['城市管理'],0.06710775,0.258034026,0.830985915
16,0.113636364,0.661819757,0.663746631,"['城市管理', '积存垃圾渣土']",7.129380054,['其他区域堆放施工废弃料'],0.086011342,0.100189036,0.714285714
17,0.687719298,0.44831851,0.541125541,"['其他区域堆放施工废弃料', '积存垃圾渣土']",3.271490414,['城市管理'],0.072778828,0.258034026,0.844155844
18,0.281481481,0.662060026,0.674343812,"['其他区域堆放施工废弃料', '城市管理']",7.134557527,['积存垃圾渣土'],0.076559546,0.112476371,0.802469136
19,0.251908397,0.593299134,0.60296958,"['绿化带养护', '城市管理']",6.896668276,['公共绿地养护'],0.071833648,0.103024575,0.710526316
20,0.232,0.611429598,0.619615385,"['公共绿地养护', '城市管理']",7.324615385,['绿化带养护'],0.070888469,0.098298677,0.72
21,0.714285714,0.396330942,0.495959922,"['公共绿地养护', '绿化带养护']",3.077569489,['城市管理'],0.064272212,0.258034026,0.794117647
