lhs,rhs,IR,kulc,lift,sup_lhs,conf
['积存垃圾渣土'],['城市管理'],0.5,0.75,3.7,0.135135135,1
['市容环卫'],['城市管理'],0.6,0.7,3.7,0.108108108,1
['道路路面塌陷、凹陷'],['道路破损'],0,0.8,5.92,0.135135135,0.8
['道路破损'],['道路路面塌陷、凹陷'],0,0.8,5.92,0.135135135,0.8
['积存垃圾渣土'],['市容环卫'],0.2,0.9,7.4,0.135135135,0.8
['市容环卫'],['积存垃圾渣土'],0.2,0.9,7.4,0.108108108,1
"['城市管理', '积存垃圾渣土']",['市容环卫'],0.2,0.9,7.4,0.135135135,0.8
"['市容环卫', '积存垃圾渣土']",['城市管理'],0.6,0.7,3.7,0.108108108,1
"['市容环卫', '城市管理']",['积存垃圾渣土'],0.2,0.9,7.4,0.108108108,1
['积存垃圾渣土'],"['市容环卫', '城市管理']",0.2,0.9,7.4,0.135135135,0.8
['市容环卫'],"['城市管理', '积存垃圾渣土']",0.2,0.9,7.4,0.108108108,1
