IR,conf,kulc,lhs,lift,rhs,sup_lhs
0.571428571,0.8,0.553846154,['垃圾臭味扰民'],2.461538462,['城市管理'],0.125
0.333333333,1,0.833333333,['道路遗撒'],6.666666667,['其他区域堆放施工废弃料'],0.1
0.692307692,1,0.653846154,['路灯(灯光)井盖'],3.076923077,['城市管理'],0.1
0.5,0.833333333,0.608974359,['积存垃圾渣土'],2.564102564,['城市管理'],0.15
0.5,1,0.75,['下水道堵塞或破损'],5,['道路破损'],0.1
0.166666667,1,0.916666667,['垃圾臭味扰民'],6.666666667,['其他区域堆放施工废弃料'],0.125
0.166666667,0.833333333,0.916666667,['其他区域堆放施工废弃料'],6.666666667,['垃圾臭味扰民'],0.15
0,0.8,0.8,['垃圾臭味扰民'],6.4,['道路保洁'],0.125
0,0.8,0.8,['道路保洁'],6.4,['垃圾臭味扰民'],0.125
0.692307692,1,0.653846154,['固体废物'],3.076923077,['城市管理'],0.1
0.428571429,1,0.785714286,['路灯(灯光)井盖'],5.714285714,['暴露垃圾'],0.1
0.615384615,1,0.692307692,['道路保洁'],3.076923077,['城市管理'],0.125
0.571428571,0.8,0.553846154,['城市公共设施'],2.461538462,['城市管理'],0.125
0.333333333,1,0.833333333,['道路遗撒'],6.666666667,['积存垃圾渣土'],0.1
0,1,1,['其他施工管理问题'],8,['工业红线内噪声'],0.125
0,1,1,['工业红线内噪声'],8,['其他施工管理问题'],0.125
0,1,1,['积存垃圾渣土'],6.666666667,['其他区域堆放施工废弃料'],0.15
0,1,1,['其他区域堆放施工废弃料'],6.666666667,['积存垃圾渣土'],0.15
0.142857143,0.8,0.733333333,['工业红线内噪声'],5.333333333,['施工安全隐患'],0.125
0,1,1,['其他区域废弃家具'],10,['住宅区域内废弃家具设备'],0.1
0,1,1,['住宅区域内废弃家具设备'],10,['其他区域废弃家具'],0.1
0.333333333,1,0.833333333,['固体废物'],6.666666667,['积存垃圾渣土'],0.1
0.333333333,0.8,0.65,['上水井盖'],4,['道路破损'],0.125
