lhs,rhs,IR,kulc,lift,sup_lhs,conf
['通讯井盖'],['下水井盖'],0.230769231,0.777777778,4.37037037,0.152542373,0.888888889
['公共绿地养护'],['其他区域堆放施工废弃料'],0,0.818181818,4.388429752,0.186440678,0.818181818
['其他区域堆放施工废弃料'],['公共绿地养护'],0,0.818181818,4.388429752,0.186440678,0.818181818
['下水道堵塞或破损'],['道路破损'],0.181818182,0.7875,5.1625,0.13559322,0.875
['绿化带养护'],['其他区域堆放施工废弃料'],0.076923077,0.763636364,4.290909091,0.169491525,0.8
['下水道堵塞或破损'],['下水井盖'],0.307692308,0.729166667,4.302083333,0.13559322,0.875
['道路破损'],['下水井盖'],0.142857143,0.733333333,3.933333333,0.169491525,0.8
['道路破损'],['公共绿地养护'],0.076923077,0.763636364,4.290909091,0.169491525,0.8
"['城市管理', '绿化带养护']",['其他区域堆放施工废弃料'],0.333333333,0.701298701,4.597402597,0.118644068,0.857142857
"['其他区域堆放施工废弃料', '下水井盖']",['道路破损'],0.4,0.8,5.9,0.101694915,1
"['道路破损', '其他区域堆放施工废弃料']",['下水井盖'],0.384615385,0.678571429,4.214285714,0.118644068,0.857142857
"['下水井盖', '公共绿地养护']",['其他区域堆放施工废弃料'],0.333333333,0.701298701,4.597402597,0.118644068,0.857142857
"['其他区域堆放施工废弃料', '下水井盖']",['公共绿地养护'],0.454545455,0.772727273,5.363636364,0.101694915,1
"['下水井盖', '下水道堵塞或破损']",['公共绿地养护'],0.333333333,0.701298701,4.597402597,0.118644068,0.857142857
"['下水道堵塞或破损', '公共绿地养护']",['下水井盖'],0.5,0.75,4.916666667,0.101694915,1
"['下水井盖', '公共绿地养护']",['下水道堵塞或破损'],0.111111111,0.803571429,6.321428571,0.118644068,0.857142857
"['下水井盖', '下水道堵塞或破损']",['道路破损'],0.3,0.85,5.9,0.118644068,1
"['道路破损', '下水道堵塞或破损']",['下水井盖'],0.416666667,0.791666667,4.916666667,0.118644068,1
"['道路破损', '下水井盖']",['下水道堵塞或破损'],0,0.875,6.453125,0.13559322,0.875
['下水道堵塞或破损'],"['道路破损', '下水井盖']",0,0.875,6.453125,0.13559322,0.875
"['城市管理', '公共绿地养护']",['其他区域堆放施工废弃料'],0.333333333,0.701298701,4.597402597,0.118644068,0.857142857
"['下水道堵塞或破损', '公共绿地养护']",['道路破损'],0.4,0.8,5.9,0.101694915,1
"['道路破损', '下水道堵塞或破损']",['公共绿地养护'],0.333333333,0.701298701,4.597402597,0.118644068,0.857142857
"['下水井盖', '公共绿地养护']",['道路破损'],0.3,0.85,5.9,0.118644068,1
"['道路破损', '公共绿地养护']",['下水井盖'],0.307692308,0.729166667,4.302083333,0.13559322,0.875
"['道路破损', '下水井盖']",['公共绿地养护'],0.25,0.755681818,4.693181818,0.13559322,0.875
"['绿化带养护', '公共绿地养护']",['其他区域堆放施工废弃料'],0.363636364,0.818181818,5.363636364,0.118644068,1
"['其他区域堆放施工废弃料', '绿化带养护']",['公共绿地养护'],0.25,0.755681818,4.693181818,0.13559322,0.875
"['道路破损', '公共绿地养护']",['其他区域堆放施工废弃料'],0.25,0.755681818,4.693181818,0.13559322,0.875
"['道路破损', '其他区域堆放施工废弃料']",['公共绿地养护'],0.363636364,0.818181818,5.363636364,0.118644068,1
"['道路破损', '下水井盖', '公共绿地养护']",['其他区域堆放施工废弃料'],0.333333333,0.701298701,4.597402597,0.118644068,0.857142857
"['道路破损', '其他区域堆放施工废弃料', '公共绿地养护']",['下水井盖'],0.384615385,0.678571429,4.214285714,0.118644068,0.857142857
"['其他区域堆放施工废弃料', '下水井盖', '公共绿地养护']",['道路破损'],0.4,0.8,5.9,0.101694915,1
"['道路破损', '其他区域堆放施工废弃料', '下水井盖']",['公共绿地养护'],0.454545455,0.772727273,5.363636364,0.101694915,1
"['下水井盖', '公共绿地养护']","['道路破损', '其他区域堆放施工废弃料']",0,0.857142857,7.224489796,0.118644068,0.857142857
"['道路破损', '其他区域堆放施工废弃料']","['下水井盖', '公共绿地养护']",0,0.857142857,7.224489796,0.118644068,0.857142857
"['其他区域堆放施工废弃料', '下水井盖']","['道路破损', '公共绿地养护']",0.25,0.875,7.375,0.101694915,1
"['道路破损', '下水道堵塞或破损', '公共绿地养护']",['下水井盖'],0.5,0.75,4.916666667,0.101694915,1
"['下水道堵塞或破损', '下水井盖', '公共绿地养护']",['道路破损'],0.4,0.8,5.9,0.101694915,1
"['道路破损', '下水井盖', '下水道堵塞或破损']",['公共绿地养护'],0.333333333,0.701298701,4.597402597,0.118644068,0.857142857
"['道路破损', '下水井盖', '公共绿地养护']",['下水道堵塞或破损'],0.111111111,0.803571429,6.321428571,0.118644068,0.857142857
"['下水道堵塞或破损', '公共绿地养护']","['道路破损', '下水井盖']",0.25,0.875,7.375,0.101694915,1
"['道路破损', '下水道堵塞或破损']","['下水井盖', '公共绿地养护']",0,0.857142857,7.224489796,0.118644068,0.857142857
"['下水井盖', '下水道堵塞或破损']","['道路破损', '公共绿地养护']",0.111111111,0.803571429,6.321428571,0.118644068,0.857142857
"['下水井盖', '公共绿地养护']","['道路破损', '下水道堵塞或破损']",0,0.857142857,7.224489796,0.118644068,0.857142857
