lhs,rhs,IR,kulc,lift,sup_lhs,conf
['通讯井盖'],['下水井盖'],0.4,0.8,4.9,0.12244898,1
['垃圾臭味扰民'],['施工安全隐患'],0.461538462,0.625,3.402777778,0.12244898,0.833333333
['积存垃圾渣土'],['城市管理'],0.416666667,0.643939394,3.712121212,0.12244898,0.833333333
['公共绿地养护'],['下水道堵塞或破损'],0,0.833333333,6.805555556,0.12244898,0.833333333
['下水道堵塞或破损'],['公共绿地养护'],0,0.833333333,6.805555556,0.12244898,0.833333333
['下水道堵塞或破损'],['施工安全隐患'],0.461538462,0.625,3.402777778,0.12244898,0.833333333
['下水道堵塞或破损'],['城市管理'],0.454545455,0.772727273,4.454545455,0.12244898,1
['积存垃圾渣土'],['饲养宠物家禽扰民'],0,0.833333333,6.805555556,0.12244898,0.833333333
['饲养宠物家禽扰民'],['积存垃圾渣土'],0,0.833333333,6.805555556,0.12244898,0.833333333
['公共绿地养护'],['垃圾臭味扰民'],0,0.833333333,6.805555556,0.12244898,0.833333333
['垃圾臭味扰民'],['公共绿地养护'],0,0.833333333,6.805555556,0.12244898,0.833333333
['饲养宠物家禽扰民'],['城市管理'],0.416666667,0.643939394,3.712121212,0.12244898,0.833333333
['公共绿地养护'],['城市管理'],0.454545455,0.772727273,4.454545455,0.12244898,1
['饲养宠物家禽扰民'],['其他区域堆放施工废弃料'],0.125,0.773809524,5.833333333,0.12244898,0.833333333
['积存垃圾渣土'],['其他区域堆放施工废弃料'],0.125,0.773809524,5.833333333,0.12244898,0.833333333
['公共绿地养护'],['施工安全隐患'],0.461538462,0.625,3.402777778,0.12244898,0.833333333
['其他区域堆放施工废弃料'],['城市管理'],0.333333333,0.701298701,3.818181818,0.142857143,0.857142857
['绿化带养护'],['施工安全隐患'],0.384615385,0.678571429,3.5,0.142857143,0.857142857
"['施工安全隐患', '垃圾臭味扰民']",['城市管理'],0.545454545,0.727272727,4.454545455,0.102040816,1
"['城市管理', '垃圾臭味扰民']",['施工安全隐患'],0.461538462,0.625,3.402777778,0.12244898,0.833333333
['垃圾臭味扰民'],"['城市管理', '施工安全隐患']",0.222222222,0.729166667,5.104166667,0.12244898,0.833333333
"['施工安全隐患', '公共绿地养护']",['城市管理'],0.545454545,0.727272727,4.454545455,0.102040816,1
"['城市管理', '公共绿地养护']",['施工安全隐患'],0.461538462,0.625,3.402777778,0.12244898,0.833333333
['公共绿地养护'],"['城市管理', '施工安全隐患']",0.222222222,0.729166667,5.104166667,0.12244898,0.833333333
"['垃圾臭味扰民', '公共绿地养护']",['城市管理'],0.545454545,0.727272727,4.454545455,0.102040816,1
"['城市管理', '公共绿地养护']",['垃圾臭味扰民'],0,0.833333333,6.805555556,0.12244898,0.833333333
"['城市管理', '垃圾臭味扰民']",['公共绿地养护'],0,0.833333333,6.805555556,0.12244898,0.833333333
['公共绿地养护'],"['城市管理', '垃圾臭味扰民']",0,0.833333333,6.805555556,0.12244898,0.833333333
['垃圾臭味扰民'],"['城市管理', '公共绿地养护']",0,0.833333333,6.805555556,0.12244898,0.833333333
"['垃圾臭味扰民', '公共绿地养护']",['施工安全隐患'],0.583333333,0.708333333,4.083333333,0.102040816,1
"['施工安全隐患', '公共绿地养护']",['垃圾臭味扰民'],0.166666667,0.916666667,8.166666667,0.102040816,1
"['施工安全隐患', '垃圾臭味扰民']",['公共绿地养护'],0.166666667,0.916666667,8.166666667,0.102040816,1
['公共绿地养护'],"['施工安全隐患', '垃圾臭味扰民']",0.166666667,0.916666667,8.166666667,0.12244898,0.833333333
['垃圾臭味扰民'],"['施工安全隐患', '公共绿地养护']",0.166666667,0.916666667,8.166666667,0.12244898,0.833333333
