lhs,rhs,IR,kulc,lift,sup_lhs,conf
['上水井盖'],['下水井盖'],0.352941176,0.73125,2.7,0.208333333,0.9
['架空线缆损坏'],['下水井盖'],0.6875,0.65625,3,0.104166667,1
['其他区域堆放施工废弃料'],['城市管理'],0.384615385,0.678571429,3.428571429,0.145833333,0.857142857
['社区公共管理'],['下水井盖'],0.5,0.75,3,0.166666667,1
['下水道堵塞或破损'],['下水井盖'],0.6875,0.65625,3,0.104166667,1
['道路破损'],['下水井盖'],0.277777778,0.690340909,2.454545455,0.229166667,0.818181818
['道路污水'],['下水井盖'],0.6875,0.65625,3,0.104166667,1
"['城市管理', '社区公共管理']",['下水井盖'],0.625,0.6875,3,0.125,1
"['城市管理', '下水井盖']",['社区公共管理'],0.111111111,0.803571429,5.142857143,0.145833333,0.857142857
"['上水井盖', '社区公共管理']",['下水井盖'],0.6875,0.65625,3,0.104166667,1
"['施工安全隐患', '社区公共管理']",['下水井盖'],0.6875,0.65625,3,0.104166667,1
"['社区公共管理', '上水井盖']",['道路破损'],0.545454545,0.727272727,4.363636364,0.104166667,1
"['道路破损', '社区公共管理']",['上水井盖'],0.363636364,0.666666667,4,0.125,0.833333333
"['道路破损', '上水井盖']",['社区公共管理'],0.375,0.8125,6,0.104166667,1
"['其他区域堆放施工废弃料', '积存垃圾渣土']",['城市管理'],0.583333333,0.708333333,4,0.104166667,1
"['其他区域堆放施工废弃料', '城市管理']",['积存垃圾渣土'],0.3,0.694444444,4.444444444,0.125,0.833333333
"['城市管理', '施工安全隐患']",['道路破损'],0.545454545,0.727272727,4.363636364,0.104166667,1
"['道路破损', '施工安全隐患']",['城市管理'],0.461538462,0.625,3.333333333,0.125,0.833333333
"['城市管理', '上水井盖']",['道路破损'],0.416666667,0.643939394,3.636363636,0.125,0.833333333
"['道路破损', '上水井盖']",['城市管理'],0.583333333,0.708333333,4,0.104166667,1
"['城市管理', '上水井盖']",['下水井盖'],0.625,0.6875,3,0.125,1
"['城市管理', '下水井盖']",['上水井盖'],0.272727273,0.728571429,4.114285714,0.145833333,0.857142857
"['城市管理', '施工安全隐患']",['下水井盖'],0.6875,0.65625,3,0.104166667,1
